serie,fecha,conjunto,viajeros
frontera_valle_nuevo,2022-07-01,test,53818.0
frontera_valle_nuevo,2022-08-01,test,60351.0
frontera_valle_nuevo,2022-09-01,test,57159.0
frontera_valle_nuevo,2022-10-01,test,61319.0
frontera_valle_nuevo,2022-11-01,test,79351.0
frontera_valle_nuevo,2022-12-01,test,93131.0
frontera_valle_nuevo,2023-01-01,test,45433.87234627529
frontera_valle_nuevo,2023-02-01,test,38432.78921090656
frontera_valle_nuevo,2023-03-01,test,44519.65945947915
frontera_valle_nuevo,2023-04-01,test,63026.790449355445
frontera_valle_nuevo,2023-05-01,test,42574.15617964926
frontera_valle_nuevo,2023-06-01,test,43575.71907316531
frontera_valle_nuevo,2023-07-01,test,52537.93363914358
frontera_valle_nuevo,2023-08-01,test,59555.01541972068
frontera_valle_nuevo,2023-09-01,test,51732.34620334615
frontera_valle_nuevo,2023-10-01,test,26576.944899911174
frontera_valle_nuevo,2023-11-01,test,54846.37611349384
frontera_valle_nuevo,2023-12-01,test,80147.63761785896
frontera_valle_nuevo,2024-01-01,test,55998.01466922343
frontera_valle_nuevo,2024-02-01,test,47578.588542963764
frontera_valle_nuevo,2024-03-01,test,69483.89288750275
frontera_valle_nuevo,2024-04-01,test,45274.21212442566
frontera_valle_nuevo,2024-05-01,test,52065.83724928357
frontera_valle_nuevo,2024-06-01,test,43108.65849387046
frontera_valle_nuevo,2024-07-01,test,52248.67751774468
frontera_valle_nuevo,2024-08-01,test,72500.72250770808
frontera_valle_nuevo,2024-09-01,test,47965.38622974952
frontera_valle_nuevo,2024-10-01,test,55027.38369546927
frontera_valle_nuevo,2024-11-01,test,70012.1751152075
frontera_valle_nuevo,2024-12-01,test,92168.47324426158
frontera_valle_nuevo,2025-01-01,test,57653.42273925849
frontera_valle_nuevo,2025-02-01,test,45789.08259423505
frontera_valle_nuevo,2025-03-01,test,52055.722781810844
frontera_valle_nuevo,2025-04-01,test,66666.01243304134
frontera_valle_nuevo,2025-05-01,test,49206.281433425764
frontera_valle_nuevo,2025-06-01,test,50110.56583836609
frontera_valle_nuevo,2025-07-01,test,50413.459748524794
frontera_valle_nuevo,2025-08-01,test,72139.24531894638
frontera_valle_nuevo,2025-09-01,test,47259.45296034146
frontera_valle_nuevo,2025-10-01,test,51903.318752531406
frontera_valle_nuevo,2025-11-01,test,66260.86478555299
frontera_valle_nuevo,2025-12-01,test,89656.1220472439
frontera_valle_nuevo,2026-01-01,test,52834.376321353244
frontera_valle_nuevo,2026-02-01,test,36006.248553054684
frontera_valle_nuevo,2026-03-01,test,45614.281816351235
frontera_valle_nuevo,2026-04-01,test,48757.224880501926
frontera_valle_nuevo,2026-05-01,test,44810.39636504233
frontera_valle_nuevo,2026-06-01,test,44166.617542663545
frontera_san_cristobal,2009-01-01,train,8495.004015575567
frontera_san_cristobal,2009-02-01,train,6972.0
frontera_san_cristobal,2009-03-01,train,12785.024596235648
frontera_san_cristobal,2009-04-01,train,7681.602680374304
frontera_san_cristobal,2009-05-01,train,5112.796082130378
frontera_san_cristobal,2009-06-01,train,8135.124658869394
frontera_san_cristobal,2009-07-01,train,5673.67916212595
frontera_san_cristobal,2009-08-01,train,10293.109044197567
frontera_san_cristobal,2009-09-01,train,7955.319227172692
frontera_san_cristobal,2009-10-01,train,14384.071163360097
frontera_san_cristobal,2009-11-01,train,18019.920823910867
frontera_san_cristobal,2009-12-01,train,15232.96748860383
frontera_san_cristobal,2010-01-01,train,13020.890995376009
frontera_san_cristobal,2010-02-01,train,10600.969619282469
frontera_san_cristobal,2010-03-01,train,8012.539753627781
frontera_san_cristobal,2010-04-01,train,11633.394301779903
frontera_san_cristobal,2010-05-01,train,9106.564500206263
frontera_san_cristobal,2010-06-01,train,8449.17585462329
frontera_san_cristobal,2010-07-01,train,8911.784278168912
frontera_san_cristobal,2010-08-01,train,10326.606357475835
frontera_san_cristobal,2010-09-01,train,10143.996334955009
frontera_san_cristobal,2010-10-01,train,18005.04406735455
frontera_san_cristobal,2010-11-01,train,18180.978217673757
frontera_san_cristobal,2010-12-01,train,18585.315104293313
frontera_san_cristobal,2011-01-01,train,16801.700921936066
frontera_san_cristobal,2011-02-01,train,13547.62732936377
frontera_san_cristobal,2011-03-01,train,20310.42753878198
frontera_san_cristobal,2011-04-01,train,14731.218445254177
frontera_san_cristobal,2011-05-01,train,7714.875303259098
frontera_san_cristobal,2011-06-01,train,8690.502582096271
frontera_san_cristobal,2011-07-01,train,8770.89784100263
frontera_san_cristobal,2011-08-01,train,9566.694929919055
frontera_san_cristobal,2011-09-01,train,8411.243541119105
frontera_san_cristobal,2011-10-01,train,16627.45964166415
frontera_san_cristobal,2011-11-01,train,17728.145314336274
frontera_san_cristobal,2011-12-01,train,24439.376617663314
frontera_san_cristobal,2012-01-01,train,17427.388165146796
frontera_san_cristobal,2012-02-01,train,14399.908337665209
frontera_san_cristobal,2012-03-01,train,21377.610678639103
frontera_san_cristobal,2012-04-01,train,14321.41661976966
frontera_san_cristobal,2012-05-01,train,8171.2062087074955
frontera_san_cristobal,2012-06-01,train,8588.931034792991
frontera_san_cristobal,2012-07-01,train,8587.082738209678
frontera_san_cristobal,2012-08-01,train,10095.158279859923
frontera_san_cristobal,2012-09-01,train,8677.35547549452
frontera_san_cristobal,2012-10-01,train,16120.384733132234
frontera_san_cristobal,2012-11-01,train,19402.10994344981
frontera_san_cristobal,2012-12-01,train,22398.203310250927
frontera_san_cristobal,2013-01-01,train,17451.08785592601
frontera_san_cristobal,2013-02-01,train,14387.069933539831
frontera_san_cristobal,2013-03-01,train,21269.34641002026
frontera_san_cristobal,2013-04-01,train,14087.453522884494
frontera_san_cristobal,2013-05-01,train,8188.741537656777
frontera_san_cristobal,2013-06-01,train,8595.164423710317
frontera_san_cristobal,2013-07-01,train,8570.151194019738
frontera_san_cristobal,2013-08-01,train,10262.737946200365
frontera_san_cristobal,2013-09-01,train,8711.082870681143
frontera_san_cristobal,2013-10-01,train,16342.97904561178
frontera_san_cristobal,2013-11-01,train,19561.836408017574
frontera_san_cristobal,2013-12-01,train,22600.987759331427
frontera_san_cristobal,2014-01-01,train,18039.78835417185
frontera_san_cristobal,2014-02-01,train,15243.972921006252
frontera_san_cristobal,2014-03-01,train,21845.667590808003
frontera_san_cristobal,2014-04-01,train,14661.303907846199
frontera_san_cristobal,2014-05-01,train,8709.174391534392
frontera_san_cristobal,2014-06-01,train,9188.618773515722
frontera_san_cristobal,2014-07-01,train,9570.814735028005
frontera_san_cristobal,2014-08-01,train,11010.053461274845
frontera_san_cristobal,2014-09-01,train,9335.86306182472
frontera_san_cristobal,2014-10-01,train,19247.147746055496
frontera_san_cristobal,2014-11-01,train,29226.50628007249
frontera_san_cristobal,2014-12-01,train,29259.904885801363
frontera_san_cristobal,2015-01-01,train,19823.727561687054
frontera_san_cristobal,2015-02-01,train,16607.157297515954
frontera_san_cristobal,2015-03-01,train,19680.83270269797
frontera_san_cristobal,2015-04-01,train,20030.96913070996
frontera_san_cristobal,2015-05-01,train,20238.582435277054
frontera_san_cristobal,2015-06-01,train,19115.191745255015
frontera_san_cristobal,2015-07-01,train,18526.576621766013
frontera_san_cristobal,2015-08-01,train,17456.48837079715
frontera_san_cristobal,2015-09-01,train,15328.82839523403
frontera_san_cristobal,2015-10-01,train,18240.489542234023
frontera_san_cristobal,2015-11-01,train,20276.376851527002
frontera_san_cristobal,2015-12-01,train,28123.736510934992
frontera_san_cristobal,2016-01-01,train,25325.573426412084
frontera_san_cristobal,2016-02-01,train,23524.72988030408
frontera_san_cristobal,2016-03-01,train,33787.47013832989
frontera_san_cristobal,2016-04-01,train,19559.927260291373
frontera_san_cristobal,2016-05-01,train,20744.560807432503
frontera_san_cristobal,2016-06-01,train,14983.162023586894
frontera_san_cristobal,2016-07-01,train,20778.54958151395
frontera_san_cristobal,2016-08-01,train,21721.045958486782
frontera_san_cristobal,2016-09-01,train,8881.188665060565
frontera_san_cristobal,2016-10-01,train,32503.60233750321
frontera_san_cristobal,2016-11-01,train,41278.35216495512
frontera_san_cristobal,2016-12-01,train,48532.378070335006
frontera_san_cristobal,2017-01-01,train,34314.186988078945
frontera_san_cristobal,2017-02-01,train,25529.679291944358
frontera_san_cristobal,2017-03-01,train,27870.924368038526
frontera_san_cristobal,2017-04-01,train,53127.00000000005
frontera_san_cristobal,2017-05-01,train,25235.87625171837
frontera_san_cristobal,2017-06-01,train,15384.790471552182
frontera_san_cristobal,2017-07-01,train,18803.031343891762
frontera_san_cristobal,2017-08-01,train,24690.49772480251
frontera_san_cristobal,2017-09-01,train,11715.811354251186
frontera_san_cristobal,2017-10-01,train,14868.387929038585
frontera_san_cristobal,2017-11-01,train,23647.44902769982
frontera_san_cristobal,2017-12-01,train,30173.324112642993
frontera_san_cristobal,2018-01-01,train,27494.22845422962
frontera_san_cristobal,2018-02-01,train,24925.21207190168
frontera_san_cristobal,2018-03-01,train,43928.81091748901
frontera_san_cristobal,2018-04-01,train,38480.30091298559
frontera_san_cristobal,2018-05-01,train,28847.818993960507
frontera_san_cristobal,2018-06-01,train,38958.81749704991
frontera_san_cristobal,2018-07-01,train,32307.90326091088
frontera_san_cristobal,2018-08-01,train,43164.832262970514
frontera_san_cristobal,2018-09-01,train,27167.941968014613
frontera_san_cristobal,2018-10-01,train,24455.102528009997
frontera_san_cristobal,2018-11-01,train,24415.40091470499
frontera_san_cristobal,2018-12-01,train,33262.43059277584
frontera_san_cristobal,2019-01-01,train,39476.0
frontera_san_cristobal,2019-02-01,train,30078.93650793651
frontera_san_cristobal,2019-03-01,train,38812.56756756757
frontera_san_cristobal,2019-04-01,train,38339.0
frontera_san_cristobal,2019-05-01,train,28766.0
frontera_san_cristobal,2019-06-01,train,35950.0
frontera_san_cristobal,2019-07-01,train,34076.0
frontera_san_cristobal,2019-08-01,train,38419.393939393936
frontera_san_cristobal,2019-09-01,train,34013.0
frontera_san_cristobal,2019-10-01,train,23336.0
frontera_san_cristobal,2019-11-01,train,24752.0
frontera_san_cristobal,2019-12-01,train,41912.93
frontera_san_cristobal,2020-01-01,train,47132.0
frontera_san_cristobal,2020-02-01,train,36282.87096774193
frontera_san_cristobal,2020-03-01,train,15053.0
frontera_san_cristobal,2020-04-01,train,1898.0
frontera_san_cristobal,2020-05-01,train,2139.0
frontera_san_cristobal,2020-06-01,train,2600.0
frontera_san_cristobal,2020-07-01,train,2662.0
frontera_san_cristobal,2020-08-01,train,2735.0
frontera_san_cristobal,2020-09-01,train,963.0
frontera_san_cristobal,2020-10-01,train,282.1000000000001
frontera_san_cristobal,2020-11-01,train,151.0
frontera_san_cristobal,2020-12-01,train,14.0
frontera_san_cristobal,2021-01-01,train,2646.0
frontera_san_cristobal,2021-02-01,train,677.0
frontera_san_cristobal,2021-03-01,train,3165.0
frontera_san_cristobal,2021-04-01,test,3546.0
frontera_san_cristobal,2021-05-01,test,1803.0
frontera_san_cristobal,2021-06-01,test,2128.0
frontera_san_cristobal,2021-07-01,test,2247.0
frontera_san_cristobal,2021-08-01,test,2193.0
frontera_san_cristobal,2021-09-01,test,2368.0
frontera_san_cristobal,2021-10-01,test,2088.0
frontera_san_cristobal,2021-11-01,test,2200.0
frontera_san_cristobal,2021-12-01,test,10031.0
frontera_san_cristobal,2022-01-01,test,4378.0
frontera_san_cristobal,2022-02-01,test,15444.8
frontera_san_cristobal,2022-03-01,test,10392.0
frontera_san_cristobal,2022-04-01,test,24724.0
frontera_san_cristobal,2022-05-01,test,32011.0
frontera_san_cristobal,2022-06-01,test,39152.0
frontera_san_cristobal,2022-07-01,test,26076.0
frontera_san_cristobal,2022-08-01,test,28883.0
frontera_san_cristobal,2022-09-01,test,18143.0
frontera_san_cristobal,2022-10-01,test,23190.0
frontera_san_cristobal,2022-11-01,test,20348.0
frontera_san_cristobal,2022-12-01,test,40363.0
frontera_san_cristobal,2023-01-01,test,16512.845495048674
frontera_san_cristobal,2023-02-01,test,16825.04228744933
frontera_san_cristobal,2023-03-01,test,17433.879650776922
frontera_san_cristobal,2023-04-01,test,24896.635971149684
frontera_san_cristobal,2023-05-01,test,19625.442391774846
frontera_san_cristobal,2023-06-01,test,18198.774345815476
frontera_san_cristobal,2023-07-01,test,26756.034714842383
frontera_san_cristobal,2023-08-01,test,23287.164984709514
frontera_san_cristobal,2023-09-01,test,22149.60852816035
frontera_san_cristobal,2023-10-01,test,16446.929331078532
frontera_san_cristobal,2023-11-01,test,25386.749128919866
frontera_san_cristobal,2023-12-01,test,41227.94118213955
frontera_san_cristobal,2024-01-01,test,21929.572942097624
frontera_san_cristobal,2024-02-01,test,23935.136703187232
frontera_san_cristobal,2024-03-01,test,26547.697318007675
frontera_san_cristobal,2024-04-01,test,24120.85168195716
frontera_san_cristobal,2024-05-01,test,21453.968641115003
frontera_san_cristobal,2024-06-01,test,22598.542094017095
frontera_san_cristobal,2024-07-01,test,25821.17375892941
frontera_san_cristobal,2024-08-01,test,29214.500666367214
frontera_san_cristobal,2024-09-01,test,26201.06611570247
frontera_san_cristobal,2024-10-01,test,28210.818610887665
frontera_san_cristobal,2024-11-01,test,32912.428571428514
frontera_san_cristobal,2024-12-01,test,49853.39626168227
frontera_san_cristobal,2025-01-01,test,28775.001052128177
frontera_san_cristobal,2025-02-01,test,27381.833112549313
frontera_san_cristobal,2025-03-01,test,29165.50559779905
frontera_san_cristobal,2025-04-01,test,32830.57722007722
frontera_san_cristobal,2025-05-01,test,30307.12875358966
frontera_san_cristobal,2025-06-01,test,28722.0809477379
frontera_san_cristobal,2025-07-01,test,26665.326205806752
frontera_san_cristobal,2025-08-01,test,31375.40274104548
frontera_san_cristobal,2025-09-01,test,27519.32878011761
frontera_san_cristobal,2025-10-01,test,28978.163525264437
frontera_san_cristobal,2025-11-01,test,33189.546054997205
frontera_san_cristobal,2025-12-01,test,43150.49753694568
frontera_san_cristobal,2026-01-01,test,29973.10559999991
frontera_san_cristobal,2026-02-01,test,24361.72711267602
frontera_san_cristobal,2026-03-01,test,30181.746185286192
frontera_san_cristobal,2026-04-01,test,27222.169056108007
frontera_san_cristobal,2026-05-01,test,29394.954717349312
frontera_san_cristobal,2026-06-01,test,29019.29591547294
