serie,arquitectura,k,unidades,learning_rate,batch_size,dropout,epocas_efectivas,rmse_val_escalado,mae_val_escalado,tiempo_seg
frontera_aurora,M1,24,64,0.01,16,0.2,25,0.2790998685851847,0.1750449494318458,3.4
frontera_aurora,M2,6,32,0.01,16,0.2,23,0.3077721945811194,0.2249487879631544,3.7
region_america_central,M1,24,64,0.01,16,0.2,22,0.2609862000647807,0.1965186449596272,3.1
region_america_central,M2,6,64,0.01,16,0.2,21,0.2933342779234525,0.2364293252635982,4.0
total,M1,6,64,0.01,16,0.2,21,0.2700784835766725,0.2134160764294735,3.3
total,M2,6,32,0.01,16,0.2,21,0.3017037698557156,0.2624056359037113,4.7
