serie,mejor_arquitectura_lstm,MAE_lstm,RMSE_lstm,mejor_modelo_lab1,MAE_lab1,RMSE_lab1,gana
frontera_aurora,M1,20487.099290082213,25113.046754333838,Holt-Winters,25155.78173180001,30236.806619984167,LSTM
region_america_central,M1,37641.394695154595,45151.43088939086,Prophet,62484.78663084379,67837.60346084149,LSTM
total,M2,62719.2295221011,72492.67861156969,Prophet,132304.0,139549.0,LSTM
