serie,arquitectura,k,unidades,learning_rate,MAE,RMSE,MAPE
frontera_aurora,M1,24,64,0.01,20487.099290082213,25113.046754333838,20.958148064863554
frontera_aurora,M2,6,32,0.01,43998.132521853004,47873.04441068441,53.41562098625043
region_america_central,M1,24,64,0.01,37641.394695154595,45151.43088939086,31.703435526269903
region_america_central,M2,6,64,0.01,165331.03304771998,174804.31999669902,114.47460513981859
total,M1,6,64,0.01,149862.0391700999,163454.4427215654,68.95996724832817
total,M2,6,32,0.01,62719.2295221011,72492.67861156969,34.873556709874606
